position,pace,shooting,passing,dribbling,defending,physical,gkDiving,gkHandling,gkKicking,gkReflexes,gkPositioning,ovr
LB,66.24,57.62,68.06,58.67,59.68,56.71,7.57,2.08,13.84,10.94,14.44,76.42
LW,78.94,72.89,57.73,78.61,25.45,64.11,10.77,7.85,9.71,17.46,17.04,83.95
CB,58.67,50.73,46.58,51.68,65.01,74.08,17.07,19.63,12.99,13.09,7.12,78.93
CDM,63.52,51.79,65.47,53.81,90.23,68.52,13.21,7.25,16.11,12.52,8.87,82.37
CDM,66.93,46.5,72.88,85.53,66.66,75.74,8.06,7.02,12.99,5.85,15.56,81.96
CM,77.51,61.62,76.35,67.8,50.11,83.35,13.27,11.43,9.91,11.17,17.08,82.22
RW,94.1,65.8,63.36,85.96,34.6,53.55,9.06,17.96,12.89,12.68,13.07,88.82
LB,70.82,66.68,78.49,54.66,71.46,72.84,15.89,12.13,12.01,10.95,15.73,82.76
CB,63.11,39.98,54.24,38.27,57.46,70.82,5.58,19.53,17.85,18.08,15.57,77.3
CM,74.84,61.39,66.17,57.52,64.01,59.78,6.97,6.69,7.49,5.48,5.68,78.57
CM,66.65,68.19,59.74,71.69,59.17,57.28,15.33,13.05,11.69,9.39,14.71,79.24
CAM,76.13,60.73,79.11,73.91,46.19,66.37,11.29,16.0,13.39,13.48,14.94,83.32
RB,65.53,40.03,67.33,47.28,85.97,58.72,15.31,11.83,9.27,7.68,13.49,80.66
ST,80.87,71.24,51.27,71.46,46.66,72.18,12.78,15.53,7.38,15.59,16.54,82.05
CDM,51.84,41.57,68.66,75.25,70.41,72.12,11.65,11.98,12.42,19.23,8.91,80.3
CM,73.79,61.61,61.43,76.45,60.14,47.23,15.22,15.5,19.74,10.65,9.65,76.71
LW,80.87,69.75,72.75,72.16,48.14,59.54,15.42,3.15,15.86,16.88,11.19,81.77
CDM,63.08,46.66,54.2,63.4,75.07,95.18,14.97,5.44,9.43,9.67,15.32,84.15
CB,70.31,35.52,62.16,31.56,63.03,75.32,13.71,1.32,16.21,18.6,5.93,80.27
ST,82.13,76.49,60.15,67.64,26.67,73.34,5.4,14.38,11.59,25.99,17.83,82.93
LW,84.05,66.79,59.18,80.42,29.35,74.83,15.12,14.03,17.82,16.32,18.13,86.5
GK,36.63,15.06,47.91,44.22,35.19,65.24,71.73,66.52,74.42,82.11,57.81,82.22
GK,58.59,17.04,47.64,45.4,38.68,65.11,79.01,81.57,69.92,82.31,70.09,80.56
RW,91.59,51.9,67.73,79.2,23.05,60.2,15.92,8.44,15.38,12.85,14.17,86.15
CM,58.9,65.9,73.96,73.87,40.21,60.72,9.25,13.28,16.69,12.89,11.06,79.19
CB,68.77,29.84,53.23,59.93,81.81,59.11,2.02,8.63,16.01,12.01,25.88,80.65
LB,78.47,28.29,63.78,45.04,71.92,65.08,6.31,14.57,12.5,11.21,10.84,80.44
LB,74.51,36.21,69.81,58.97,60.6,74.2,13.35,14.32,10.13,10.11,18.38,79.22
CDM,53.18,44.04,80.82,75.62,62.58,87.77,15.36,14.08,10.0,14.15,10.21,80.87
RB,81.65,48.43,77.81,55.6,60.81,65.6,9.3,9.24,10.07,13.56,18.06,79.88
RB,52.36,43.93,63.38,66.45,77.36,49.83,14.98,5.89,7.58,9.95,18.64,75.88
RB,67.47,44.52,67.53,54.56,73.34,50.01,13.91,7.08,9.53,6.98,8.35,73.3
ST,76.34,80.15,58.7,56.14,25.36,77.09,15.99,17.4,11.88,10.27,11.62,83.03
GK,37.95,9.71,35.9,27.39,43.89,71.09,67.56,73.53,52.07,68.1,84.07,79.76
CDM,68.02,43.63,60.35,63.02,68.72,61.84,22.79,6.57,4.66,14.66,12.78,76.28
CB,66.28,43.95,56.79,46.61,92.02,63.84,15.37,10.81,23.77,17.57,19.18,84.5
ST,82.72,70.06,66.55,77.86,44.99,72.04,6.8,14.15,12.38,11.16,14.13,82.12
CM,68.71,41.92,72.94,64.1,62.86,61.9,11.79,12.0,4.09,15.53,13.84,78.61
LB,61.55,47.23,54.53,65.73,76.12,68.27,10.83,11.64,16.47,14.68,17.02,78.57
CM,72.99,76.52,55.78,72.27,53.21,70.43,4.91,12.37,8.49,11.23,20.22,80.53
ST,75.33,78.82,59.69,70.62,32.68,83.98,13.05,5.79,12.96,7.05,7.49,85.22
CDM,67.51,66.4,67.81,50.75,69.15,82.52,26.73,8.36,7.2,15.94,9.02,80.3
CB,55.58,31.53,57.18,46.07,78.14,52.46,13.79,9.15,13.41,13.1,15.85,74.63
GK,55.76,18.13,73.0,43.26,47.96,68.31,75.6,61.64,59.16,73.88,50.58,76.03
RW,78.77,53.54,85.08,75.1,44.05,55.17,11.13,5.4,11.6,9.92,10.34,82.78
LB,87.62,54.78,67.68,52.86,52.02,61.8,9.66,15.06,11.33,18.74,8.85,81.84
RB,71.01,52.36,52.35,61.22,63.73,69.33,8.3,11.77,5.9,8.46,7.57,76.68
RW,75.42,65.2,68.54,60.66,42.5,49.85,8.11,14.92,15.8,20.72,10.08,81.25
CB,56.7,54.21,50.27,38.13,78.2,79.92,18.38,19.93,13.95,10.98,16.16,82.12
CDM,56.9,50.03,50.67,47.64,68.78,72.74,9.18,13.41,16.03,14.28,6.82,71.96
CB,62.55,33.59,64.43,54.59,87.64,91.32,18.82,12.2,18.16,20.27,13.22,89.94
CDM,56.83,40.06,54.55,57.18,83.96,82.03,8.08,14.93,23.13,3.48,12.59,80.99
RB,52.88,30.37,72.07,67.33,71.17,87.86,11.32,4.08,8.73,16.64,13.55,80.25
CM,89.53,49.41,81.62,64.15,56.7,75.25,12.5,15.71,6.36,15.42,11.68,81.41
RW,88.87,52.57,58.99,83.63,51.98,50.16,10.52,8.94,20.05,9.3,9.71,82.82
CAM,76.75,62.8,84.19,65.66,53.97,50.12,17.28,14.03,16.48,13.97,13.13,79.33
CAM,72.1,56.7,73.65,82.25,30.51,62.44,10.13,12.73,8.9,10.2,17.07,83.03
ST,73.35,80.69,51.56,78.64,41.7,64.46,18.63,12.99,18.88,14.23,3.49,83.61
CAM,55.12,65.97,97.53,77.74,46.75,80.64,14.36,12.54,17.39,13.35,11.78,83.58
RB,78.17,55.88,56.13,66.06,81.03,74.33,12.04,18.7,13.17,11.19,16.52,82.5
GK,30.87,8.37,40.84,40.34,37.55,59.68,67.38,62.02,83.57,85.97,68.06,80.41
CDM,84.12,47.9,85.6,58.45,75.02,83.95,12.46,13.52,10.85,8.9,11.69,85.13
LW,84.47,72.55,71.29,73.85,36.7,90.81,18.54,11.12,8.3,15.54,9.32,85.93
LW,95.43,79.18,57.9,83.53,53.83,74.36,14.3,14.62,6.99,12.67,8.02,87.86
CB,70.88,42.32,37.43,55.95,86.4,85.03,13.23,17.74,10.5,8.36,15.6,84.23
CB,45.56,42.79,34.48,41.97,84.32,71.39,8.23,14.0,16.52,13.45,18.79,80.56
GK,44.02,23.99,50.09,24.72,44.29,84.59,65.68,84.82,66.68,90.0,76.28,84.0
LW,75.59,73.57,46.97,76.63,45.13,68.04,7.5,7.27,7.16,8.31,15.55,78.81
RB,73.34,47.49,75.03,65.67,74.47,58.9,23.67,14.11,13.58,13.14,20.0,82.7
CM,56.22,58.57,79.29,46.38,75.54,55.79,16.05,15.03,15.02,8.62,6.21,79.1
RW,77.72,69.84,68.52,76.81,39.22,69.82,10.12,20.51,5.99,12.14,12.19,81.56
CM,69.08,68.76,64.01,62.06,46.75,54.77,14.59,10.02,15.02,9.1,14.87,75.0
CM,62.94,59.39,75.46,74.11,54.1,74.78,18.59,11.8,13.31,16.33,8.62,78.49
RB,79.04,48.27,60.75,60.74,68.51,63.07,14.89,13.48,20.51,13.34,14.95,80.99
LB,81.9,42.64,64.89,56.08,48.11,67.52,12.64,5.54,15.35,18.9,12.69,78.7
RB,76.5,46.66,56.41,64.74,63.47,62.24,11.08,11.84,11.87,8.67,19.81,81.65
CM,60.5,72.05,71.05,70.82,66.26,79.3,20.41,13.67,11.35,10.44,8.5,82.71
LW,79.15,69.48,56.53,60.24,44.39,62.02,11.57,14.91,19.8,6.67,18.46,79.63
GK,43.37,28.46,55.71,34.48,37.1,60.65,81.15,86.99,68.49,82.9,74.69,84.95
CAM,70.68,65.86,73.72,84.55,49.83,75.45,13.25,9.08,12.67,12.7,15.4,81.77
CAM,62.96,72.33,67.46,72.31,48.3,55.56,11.8,1.0,6.22,14.56,10.33,78.53
LB,68.45,67.18,66.86,52.8,83.25,70.31,7.53,19.53,6.18,9.97,9.65,81.8
RB,64.07,58.54,59.14,66.5,49.88,88.06,13.68,8.27,14.73,10.81,11.93,78.61
RW,90.66,77.55,72.71,88.16,19.15,38.47,13.53,14.25,17.1,6.37,9.13,86.92
GK,36.79,19.26,34.93,50.39,44.33,48.71,80.44,73.46,51.2,65.36,72.94,78.7
CAM,65.34,66.33,81.73,79.3,44.32,71.8,15.71,17.91,6.38,18.13,9.86,83.27
ST,63.77,62.7,59.99,74.95,33.05,75.04,14.45,13.03,12.59,11.02,11.92,79.19
ST,68.02,74.8,47.25,76.89,43.86,82.48,9.09,10.47,17.32,4.76,9.65,86.09
CAM,66.67,66.91,78.35,75.62,22.93,57.47,10.2,14.71,19.69,11.46,14.22,78.75
CAM,86.21,62.89,71.6,94.18,49.79,72.33,14.58,11.86,15.94,8.49,12.91,84.73
LW,69.61,73.37,62.76,97.88,43.69,47.88,13.4,10.3,10.29,8.06,12.77,83.9
LW,84.05,65.46,68.17,87.6,50.74,58.73,16.46,15.82,3.58,9.88,7.56,84.87
RB,83.32,48.71,79.64,70.39,53.95,71.44,18.75,6.18,5.59,12.01,14.78,81.98
LW,72.93,57.26,71.57,77.43,30.9,70.28,13.59,6.31,6.7,7.92,7.58,82.59
RW,77.77,45.27,53.94,79.02,35.83,53.39,14.34,13.94,15.16,9.59,6.66,77.63
LB,83.77,57.9,83.1,60.56,59.07,71.01,6.76,10.3,12.19,11.42,11.4,83.05
LW,68.71,89.25,59.06,75.55,51.47,56.32,7.08,8.24,9.34,11.51,14.51,82.32
CAM,66.27,75.37,92.75,52.11,30.44,56.28,10.43,7.99,17.52,9.2,5.9,79.74
CAM,71.78,86.08,84.05,79.74,24.9,79.42,14.01,16.09,7.23,13.6,13.83,88.23
RW,85.83,77.57,76.06,75.11,44.87,55.6,14.89,13.32,8.81,10.01,7.61,87.32
ST,79.54,84.6,61.14,50.64,44.66,68.33,11.84,9.87,9.3,13.78,14.38,82.21
CM,57.01,73.78,77.96,65.65,52.33,68.07,13.63,11.79,11.54,8.98,11.16,79.76
LB,71.37,38.32,77.55,66.56,69.35,62.42,11.54,10.46,5.03,13.87,8.32,83.58
CB,53.81,48.15,50.53,41.8,77.1,71.97,5.07,13.85,11.48,16.88,6.13,78.02
GK,50.43,15.39,59.74,42.72,44.6,67.08,71.69,73.87,64.34,76.0,61.93,80.32
CB,53.79,35.93,66.61,50.14,71.51,84.1,18.46,14.62,15.72,11.15,8.62,83.42
CAM,90.25,73.89,78.22,81.13,49.64,60.19,7.33,12.39,14.24,14.77,14.68,85.44
CAM,72.3,72.12,88.91,77.42,43.77,44.63,19.79,13.85,12.8,5.09,8.43,86.48
GK,30.33,7.12,44.69,25.51,47.43,45.24,75.84,76.95,57.73,72.14,80.04,80.97
LB,84.66,43.76,59.07,56.64,82.58,56.9,7.66,11.07,8.99,6.0,14.41,81.61
CM,65.95,63.77,89.0,84.24,77.13,57.85,7.62,11.23,16.1,22.91,18.82,87.5
CAM,66.43,72.07,81.09,72.99,45.78,68.66,8.43,15.85,14.82,10.3,12.5,81.79
LW,73.33,64.85,80.89,79.57,54.26,57.24,11.06,15.33,12.67,18.93,10.36,83.87
LB,88.58,45.13,66.23,50.51,47.25,59.44,6.36,16.78,11.84,9.1,12.16,78.8
GK,42.34,27.08,50.97,29.78,30.15,46.83,60.99,78.35,78.31,99.0,80.94,84.38
CM,56.39,72.37,91.26,77.48,64.81,62.49,14.4,9.63,6.96,12.84,11.9,83.62
RB,49.4,55.77,66.95,53.6,60.05,49.26,6.64,9.8,7.06,13.18,9.63,75.41
RB,80.38,52.19,67.09,79.75,69.87,59.62,11.97,9.26,9.97,12.83,15.91,81.44
ST,71.82,79.6,58.49,87.03,37.46,77.09,17.75,6.55,11.46,13.0,20.32,85.57
CB,42.8,40.0,54.43,57.92,90.03,62.43,18.35,11.85,14.7,1.84,12.93,79.0
RB,77.35,49.54,52.94,81.99,79.33,75.07,6.95,8.03,9.06,11.76,5.22,83.86
CDM,70.01,45.75,62.78,71.43,57.39,59.24,6.82,13.64,6.96,10.95,10.67,76.7
CDM,79.94,59.66,58.97,68.31,68.83,71.99,12.31,12.4,12.28,6.79,12.08,80.65
GK,22.09,37.24,42.02,31.3,52.79,61.32,69.17,54.79,43.58,75.06,73.07,75.14
CM,65.71,65.95,77.19,79.38,71.07,67.4,6.71,19.01,7.95,15.19,7.45,83.77
RB,72.76,57.63,85.72,62.82,97.23,60.8,11.29,17.21,13.65,11.59,9.03,85.89
LW,75.26,60.94,69.52,80.47,44.68,53.13,11.07,15.03,17.92,9.59,16.69,84.34
ST,89.71,84.11,65.87,58.23,50.55,79.12,16.43,8.16,16.3,13.2,15.17,86.82
GK,47.23,25.71,54.5,37.37,56.17,62.1,67.51,73.6,68.37,79.45,78.38,80.64
CM,71.51,49.84,85.95,61.8,47.09,78.16,18.61,11.21,10.47,13.02,13.01,82.57
RW,81.96,79.28,77.64,74.09,40.87,65.0,16.14,7.97,4.6,13.47,11.41,83.98
LW,90.15,36.02,58.06,76.02,60.83,54.08,10.92,6.54,5.38,9.96,8.2,80.75
ST,65.51,92.99,80.27,77.39,34.54,68.79,10.86,1.0,14.76,8.64,4.12,84.1
CAM,76.89,64.24,78.79,79.65,55.76,59.36,8.78,8.18,15.35,8.56,7.42,84.65
LW,94.96,67.1,59.85,81.73,51.5,60.54,7.96,16.2,9.19,10.86,17.63,83.13
RB,77.06,44.82,65.79,54.97,67.96,57.8,13.17,16.37,18.25,8.07,11.52,81.67
RW,74.31,63.49,58.46,87.22,38.47,49.72,7.19,16.42,19.09,4.45,11.18,80.67
CDM,76.55,40.32,63.4,62.35,80.0,80.98,12.33,9.96,11.05,14.5,14.22,84.11
CM,49.91,60.44,72.61,75.1,52.47,62.41,11.87,10.25,7.05,11.02,6.16,77.67
LW,80.77,64.52,68.4,90.63,27.05,61.88,12.13,8.12,11.93,10.95,9.53,85.88
RW,64.74,75.58,69.2,75.37,54.18,55.59,18.83,10.64,12.75,16.53,18.44,80.91
ST,80.92,76.95,58.48,61.02,40.53,57.8,24.19,15.92,8.61,8.31,12.9,79.18
LW,65.04,54.04,89.88,85.08,31.14,68.41,8.22,10.02,16.96,13.45,8.25,81.09
LB,85.06,43.96,59.81,63.74,65.26,60.77,11.64,1.9,13.2,5.73,18.9,78.5
CAM,84.39,70.76,79.71,80.54,52.17,59.36,3.71,8.78,15.96,6.02,17.17,84.24
ST,66.41,84.25,65.15,69.52,26.8,82.5,10.99,5.88,10.57,4.93,10.48,85.89
CAM,82.56,62.3,76.54,69.5,47.05,64.94,10.43,16.0,12.84,12.92,21.06,82.24
ST,69.44,86.65,35.93,66.17,51.66,66.54,11.33,12.27,7.56,10.82,10.25,80.9
GK,50.91,28.81,42.68,27.05,31.08,56.79,74.95,99.0,41.19,79.94,86.77,84.48
LW,85.31,69.96,84.21,65.93,46.88,44.15,8.57,11.03,12.58,13.71,16.8,86.78
ST,62.27,84.48,60.35,49.55,49.67,74.82,7.93,8.69,18.73,9.39,10.38,78.41
CM,73.72,63.55,67.24,85.52,66.74,69.66,16.55,10.25,10.54,9.69,12.53,82.01
ST,77.74,76.79,53.61,68.86,48.02,77.97,10.63,9.84,12.16,10.92,16.98,85.07
LB,67.02,56.57,74.75,76.1,67.57,77.86,13.52,2.1,13.14,17.57,10.04,82.15
CB,42.39,31.97,58.12,34.92,73.87,62.71,14.55,11.68,20.36,16.67,7.98,75.9
CDM,61.23,64.41,65.56,76.23,71.18,78.1,15.6,13.11,10.4,9.23,11.68,83.11
CB,67.92,31.46,54.09,42.18,61.75,66.51,11.71,14.84,17.97,12.84,11.91,74.67
CM,51.8,46.45,98.46,56.14,63.21,72.05,21.28,17.62,6.99,17.4,11.59,81.23
CDM,66.43,43.68,76.18,80.59,64.2,81.49,13.77,3.38,9.29,17.09,8.13,82.98
CM,61.46,59.49,58.35,55.83,38.28,53.24,12.67,16.62,9.88,5.79,9.69,71.62
RW,79.78,85.41,49.78,79.25,41.73,40.98,10.55,22.44,12.24,8.08,9.96,82.02
LW,84.84,57.9,75.8,90.31,40.84,51.89,8.69,20.33,21.22,7.58,11.6,82.0
CAM,72.5,75.68,68.02,80.16,48.27,59.82,6.22,3.89,10.99,5.22,16.33,82.42
CAM,85.09,71.64,74.89,68.11,34.85,56.02,20.66,3.2,14.34,20.04,15.62,83.35
LW,84.96,64.34,82.97,86.57,34.83,49.56,13.77,6.52,13.41,19.56,18.75,85.4
CM,56.9,53.41,60.68,62.5,45.68,51.83,13.81,12.37,14.71,5.82,9.46,72.09
LB,72.16,38.44,73.04,58.94,68.46,52.88,7.17,11.58,11.21,10.85,12.23,78.97
CM,88.28,51.1,58.25,68.78,59.87,80.14,10.74,11.57,16.29,6.52,13.81,82.86
GK,39.71,11.74,50.79,40.26,35.41,56.21,81.24,79.48,59.3,91.25,77.44,82.44
RB,71.22,40.48,68.15,66.27,67.66,68.69,18.17,8.33,15.89,14.72,13.27,78.55
LB,67.69,52.22,62.63,66.79,83.92,60.38,10.86,3.19,9.52,16.08,13.36,78.88
CDM,67.85,48.01,79.35,68.8,50.86,70.95,12.03,15.58,10.74,8.01,18.08,78.75
LB,82.83,31.1,74.48,40.49,75.87,90.05,10.86,10.97,11.24,1.0,3.9,82.73
CM,68.45,66.81,70.82,65.96,63.63,59.36,17.08,16.01,16.41,13.45,14.2,80.19
RW,81.91,70.73,62.55,80.15,40.33,61.45,12.17,14.18,3.39,13.9,12.21,82.85
ST,79.8,64.53,43.92,55.48,26.72,99.0,11.3,9.84,3.93,6.53,12.07,84.03
LB,68.63,51.79,66.19,71.24,48.77,58.3,14.42,10.46,16.85,13.0,13.62,76.51
LW,86.98,66.64,74.5,53.73,35.58,48.97,3.83,7.6,5.91,16.48,2.35,78.67
GK,59.95,13.74,54.11,42.17,19.9,71.4,67.78,74.51,73.85,78.09,66.71,81.43
RW,90.9,79.0,70.68,94.88,13.49,47.78,12.49,11.06,16.75,7.36,14.14,86.13
RW,63.81,60.83,55.08,67.4,39.39,52.76,16.92,12.05,16.33,9.51,12.54,79.09
ST,66.63,86.24,48.11,50.84,30.23,76.76,11.66,6.51,17.81,13.42,6.53,82.99
RB,68.53,66.22,60.28,76.84,60.35,66.09,11.76,10.25,11.09,11.76,14.87,80.04
CDM,75.48,71.1,75.1,60.48,63.95,67.15,10.26,7.23,8.53,14.05,11.29,78.19
LW,87.5,70.47,64.97,61.72,26.76,59.66,13.14,11.8,8.01,9.97,7.79,79.59
CDM,75.77,54.69,65.2,71.09,65.21,71.39,4.81,11.12,13.14,8.02,6.93,77.81
CM,69.95,59.09,64.69,92.9,59.71,56.08,16.19,17.43,7.25,13.94,11.39,82.75
CAM,81.86,69.32,63.79,73.66,47.17,62.25,13.03,8.39,17.99,13.65,5.42,84.11
RW,78.54,53.64,73.05,89.03,22.93,64.92,12.21,13.58,12.35,11.92,13.66,84.53
LW,83.55,73.37,60.64,75.43,41.37,28.22,16.75,6.47,12.01,19.78,11.31,82.34
CB,51.26,32.56,63.65,34.38,76.83,79.73,19.73,12.97,22.2,10.63,17.8,79.92
RW,73.18,59.14,77.78,89.24,40.47,60.15,15.65,10.84,21.14,12.59,12.37,84.68
LB,68.79,35.13,69.64,81.86,68.04,52.38,7.2,7.28,11.9,14.57,11.56,75.98
ST,69.38,81.92,51.64,89.97,30.97,83.37,10.65,10.16,9.91,10.83,8.99,84.59
LB,81.53,37.47,73.96,75.38,74.2,58.42,10.44,9.49,14.93,13.56,15.39,82.29
ST,77.75,55.53,75.16,67.99,29.92,82.79,12.46,8.7,10.3,8.86,12.77,82.6
GK,35.81,24.1,47.71,38.73,18.22,77.73,55.72,74.0,64.24,76.43,92.05,78.36
RB,92.09,51.09,72.43,63.2,68.4,48.62,5.8,11.89,10.1,10.19,7.23,80.26
CAM,73.72,66.45,98.72,64.26,49.84,55.42,9.43,9.82,16.73,14.17,11.39,84.61
RB,77.95,40.05,74.09,64.37,43.52,58.03,13.93,15.7,17.59,8.72,16.7,80.35
CB,71.27,50.8,32.58,50.4,92.19,60.98,17.88,15.07,13.74,17.32,12.53,81.89
RW,67.82,69.77,68.87,77.63,42.18,33.48,12.68,9.36,10.28,14.79,11.62,80.76
LB,66.18,39.72,76.16,78.84,70.56,75.95,13.11,22.71,6.79,6.96,12.51,82.51
CM,71.92,62.03,77.43,79.24,62.97,66.8,12.09,9.25,12.64,9.61,13.19,80.22
LB,84.75,46.24,53.29,61.41,64.68,53.78,6.77,8.35,9.33,6.35,15.2,79.4
ST,82.36,71.24,71.43,71.48,33.04,83.25,14.53,14.3,9.88,17.58,17.89,84.52
CM,81.11,45.96,68.31,77.04,40.06,64.63,14.23,7.54,14.81,4.33,14.58,77.58
LB,73.75,46.9,67.48,61.67,64.35,75.84,9.31,12.96,15.52,9.8,21.42,78.26
LB,85.27,58.84,52.81,68.71,83.35,55.17,12.93,10.85,13.51,17.52,11.08,82.32
ST,73.54,76.25,63.98,88.8,39.07,57.41,10.12,11.97,14.84,23.14,14.29,82.61
RW,93.64,74.15,70.23,69.18,31.6,48.2,8.61,14.02,13.59,14.77,9.62,82.84
CAM,62.54,71.55,79.41,72.75,47.03,51.0,8.16,9.35,18.13,8.64,10.31,80.34
CB,63.51,36.76,50.87,50.26,92.37,88.37,19.36,19.62,24.56,12.83,21.96,85.19
CAM,67.06,83.43,62.24,66.26,31.78,64.56,10.94,6.99,12.7,15.19,13.45,80.27
CM,55.32,62.52,60.59,56.6,52.33,67.65,8.0,9.03,10.42,14.37,8.73,76.46
RB,84.1,57.26,70.61,75.66,63.07,62.73,14.45,10.43,3.76,15.15,12.47,81.93
ST,57.34,86.35,58.17,85.81,50.1,66.71,11.8,10.39,10.58,17.89,20.04,83.24
RB,77.97,68.16,62.91,59.81,79.24,65.13,4.68,6.99,9.03,13.06,15.86,86.87
CAM,70.67,63.26,82.02,73.66,51.64,61.67,18.36,7.91,11.09,17.03,13.68,81.83
ST,51.66,80.43,65.51,71.9,41.86,70.95,17.14,12.56,12.42,11.78,13.58,81.33
LW,81.52,66.76,63.34,79.84,25.67,56.73,18.5,6.29,14.08,8.35,16.73,83.53
GK,43.11,23.69,43.35,25.8,38.7,79.43,94.8,71.27,69.66,77.08,70.94,80.61
ST,72.73,84.62,71.08,56.64,39.91,84.59,13.26,20.95,6.85,6.52,4.22,86.88
LB,72.86,63.18,67.75,54.38,56.96,65.9,14.22,15.16,12.14,14.32,12.74,79.45
RW,80.62,79.39,59.43,87.43,50.87,52.91,16.54,14.53,18.27,10.89,15.0,83.08
CAM,79.03,71.88,72.53,66.34,64.0,75.06,11.15,13.76,6.34,14.29,18.37,81.36
CB,71.87,19.39,60.35,27.16,82.98,71.31,15.24,16.74,16.25,5.62,11.68,81.91
RB,79.21,42.18,52.38,58.06,67.47,71.82,13.27,19.62,16.26,10.15,6.17,83.56
ST,80.04,75.43,49.08,56.77,37.5,79.31,13.74,9.33,11.76,8.58,16.28,81.4
LW,81.97,78.68,72.23,87.78,50.37,54.7,20.29,13.5,9.66,11.54,8.74,84.14
LW,78.11,64.79,69.8,65.92,29.62,66.69,14.58,7.05,9.83,11.17,8.93,81.43
LW,75.69,66.63,62.24,76.16,29.0,60.46,13.81,10.02,12.04,13.41,15.94,78.32
CB,57.58,39.39,56.19,56.28,67.02,75.81,14.46,17.66,16.65,16.38,5.71,77.97
CB,55.87,24.16,52.57,56.36,72.41,89.08,15.02,13.98,11.76,7.61,15.63,84.59
LB,66.11,27.81,78.2,75.72,50.11,47.97,9.08,10.05,15.9,15.86,10.96,75.35
GK,45.92,23.84,51.15,36.25,40.17,61.04,83.72,66.07,70.74,54.17,71.18,78.79
RB,86.46,38.33,61.89,70.35,58.91,64.61,12.38,19.83,15.42,12.32,15.09,81.58
CAM,74.55,68.34,80.74,79.72,34.65,60.6,5.72,4.21,19.31,18.12,8.04,84.43
ST,77.38,77.4,65.38,51.09,42.6,72.85,9.48,8.97,7.73,13.3,12.33,82.02
CAM,63.22,78.29,75.22,77.41,29.27,49.67,7.0,5.7,9.39,14.33,15.58,81.62
LB,75.66,49.06,81.86,80.26,51.8,83.33,17.21,13.5,11.27,17.04,11.73,84.14
LW,78.33,76.52,69.73,89.47,37.01,62.94,16.91,8.1,15.8,7.36,12.52,87.55
LW,82.02,77.2,71.66,71.1,49.22,61.04,14.54,13.48,23.82,21.03,14.57,84.49
CM,81.74,59.82,86.34,91.69,70.3,83.52,7.58,7.59,9.88,13.66,10.47,84.7
LW,75.14,65.82,90.78,91.68,35.29,52.0,13.59,13.68,15.12,12.56,9.82,87.01
GK,45.68,27.3,54.38,39.16,26.77,68.0,88.66,76.25,66.67,63.99,82.21,80.83
RW,76.43,80.59,64.12,69.54,47.89,68.95,9.01,16.05,13.75,4.84,10.98,81.7
CAM,73.22,52.35,70.02,97.11,39.03,70.33,19.65,3.84,17.68,19.54,11.98,83.75
CB,70.47,58.4,42.57,43.66,98.92,69.69,15.94,10.16,19.14,8.3,7.91,85.03
LB,67.76,48.57,59.94,42.91,62.16,70.23,16.03,15.26,16.93,14.28,12.78,75.98
CB,52.07,35.54,47.25,32.04,81.78,74.56,11.48,14.26,14.81,15.87,10.36,80.35
LW,74.09,75.3,71.73,81.72,33.7,51.29,13.5,13.35,9.05,11.19,5.55,83.47
CM,60.54,59.31,83.43,78.2,62.2,61.25,17.29,9.84,10.28,6.29,7.47,82.42
ST,82.12,72.68,37.79,55.03,18.68,88.61,13.1,13.49,11.29,12.37,13.47,83.63
RB,65.74,58.01,62.87,61.01,66.81,65.76,16.25,21.99,9.23,14.04,12.61,79.63
RB,79.84,39.37,64.84,52.0,63.65,63.14,12.51,7.46,9.71,16.32,9.75,78.83
CDM,61.68,56.53,73.78,60.72,78.73,99.0,13.55,8.36,16.56,9.98,16.35,86.62
LW,97.83,76.94,63.72,81.74,40.56,54.88,12.6,6.28,13.56,17.52,20.11,85.32
RW,82.12,73.22,60.17,76.76,23.26,53.73,15.22,15.34,11.28,9.85,20.01,81.64
ST,70.52,87.93,59.62,63.47,31.74,76.94,9.23,14.73,14.82,7.36,11.38,83.12
CAM,62.79,83.41,74.87,88.98,41.06,62.83,9.62,11.11,7.39,14.42,8.4,83.29
RW,70.93,68.7,74.43,83.59,40.6,59.57,10.23,13.3,6.95,4.0,6.16,85.08
CAM,81.34,63.27,76.91,77.06,39.71,75.91,10.76,19.5,18.97,9.38,6.21,84.28
ST,96.36,74.21,48.88,79.93,50.51,88.14,7.08,13.24,9.62,14.92,9.95,87.52
RW,85.62,73.53,63.51,71.16,56.54,58.67,11.18,16.93,13.41,12.45,11.93,85.32
CM,55.81,58.76,73.59,67.21,42.15,60.59,6.34,16.88,13.87,14.12,5.23,76.04
LB,78.4,37.37,71.48,72.95,67.1,76.45,17.04,12.77,5.62,11.31,8.64,82.8
LW,87.38,99.0,69.51,86.4,40.21,62.27,7.63,12.82,10.8,14.64,11.58,91.9
LB,73.81,44.15,56.07,65.04,69.79,66.15,4.04,12.62,9.1,15.12,8.04,79.99
LB,71.04,47.3,53.72,44.88,76.23,58.04,12.07,9.17,13.62,20.91,19.39,77.71
LB,66.77,38.92,65.48,81.05,68.36,58.68,9.2,16.37,8.33,11.07,13.75,77.06
LW,81.22,73.08,72.38,65.6,38.24,54.7,13.68,11.96,11.15,8.99,18.1,82.74
